Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015;04/02/2015 A;04/03/2015 A
5;http://en.wikipedia.org/wiki/Musical_theatre;Musical theatre - Wikipedia, the free encyclopedia;47;47;47;47;47;47;47;46;47;46;46;46;47;47;46;47;46;46;47;47;47;47;46;46;46;46;46;49;50;49;49;49;49;49;49;49
5;http://en.wikipedia.org/wiki/Musical_film;Musical film - Wikipedia, the free encyclopedia;46;46;46;46;46;46;46;45;46;45;45;45;46;46;45;46;45;45;46;46;46;46;45;45;45;45;45;48;49;48;48;48;48;48;48;48
5;http://www.broadway.com/shows/tickets/?category=musical;Musicals | Broadway Show Tickets | Broadway.com;45;45;45;45;45;45;45;44;45;44;44;44;45;45;44;45;44;44;45;45;45;44;43;43;43;44;44;47;48;47;46;46;47;47;47;47
5;http://www.imdb.com/genre/musical;IMDb: Genre: Musical;44;44;44;44;44;44;44;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;http://variety.com/2014/legit/reviews/atlanta-theater-review-bull-durham-the-musical-1201305637/;Atlanta Theater Review: 'Bull Durham' the Musical | Variety;43;37;36;0;43;0;0;0;34;33;42;42;32;0;39;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://guthman.gatech.edu/;Margaret Guthman Musical Instrument Competition: Home;42;0;41;41;39;43;42;42;42;42;39;41;41;42;41;42;41;42;42;43;43;43;42;42;41;42;42;45;40;44;44;44;45;44;44;44
2;http://www.musicals101.com/musical.htm;What is a musical? - Musicals101.com;41;43;42;40;42;42;43;41;43;0;41;0;43;43;42;43;42;0;43;42;42;42;0;0;42;0;41;0;46;45;45;45;44;45;45;45
1;http://www.musiciansfriend.com/;Musician's Friend: Musical Instruments Store;40;40;39;39;38;39;39;39;40;39;38;39;40;40;40;40;40;40;0;40;40;40;40;40;40;39;40;40;39;0;0;40;39;37;37;37
1;http://atlanta.craigslist.org/search/msg;atlanta musical instruments - by owner - craigslist;39;41;0;42;40;40;40;40;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0
3;http://us.matildathemusical.com/;Matilda The Musical| Matilda Tony Award Winning Musical ...;38;39;38;38;37;38;38;37;39;36;32;34;36;37;35;37;38;38;39;38;38;38;38;38;37;38;37;37;37;38;38;38;36;39;39;39
4;http://www.matildathemusical.com/;Matilda the Musical;37;38;37;37;36;37;37;36;38;35;31;33;35;36;34;36;37;37;38;37;37;37;37;37;36;37;36;36;36;37;37;37;35;38;38;38
4;http://www.50shadesthemusical.com/;50 Shades! The Musical Parody;36;30;28;30;31;31;30;30;30;0;29;31;0;34;36;34;0;11;11;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0
3;http://www.motownthemusical.com/;Home - Motown the Musical - Official Site for Broadway and ...;35;31;35;31;35;35;35;35;35;34;35;37;38;38;37;38;36;36;33;32;31;31;33;32;30;34;33;33;32;36;35;34;28;30;30;29
4;http://chicagothemusical.com/;Chicago The Musical | Official Site;34;35;33;33;33;34;34;33;31;32;33;35;37;30;31;31;32;32;34;33;34;35;34;35;32;35;30;30;28;33;33;30;25;31;33;33
3;http://www.evildeadthemusical.com/;Evil Dead The Musical;33;34;32;34;32;33;32;31;33;31;34;36;33;31;32;32;34;34;35;34;33;36;36;36;35;36;35;35;35;39;39;36;33;35;35;36
5;http://www.allegiancemusical.com/;Allegiance - A New Broadway Musical - Official Broadway ...;32;32;31;35;34;32;31;32;32;30;30;32;34;33;33;33;33;33;36;36;35;33;31;31;33;31;31;13;11;16;12;32;32;33;7;26
3;http://www.ticketmaster.com/Motown-the-Musical-Touring-tickets/artist/1984012;Motown the Musical (Touring) Tickets - Ticketmaster;31;33;30;32;30;0;0;0;4;9;27;30;30;29;27;29;27;28;27;23;0;0;6;5;0;0;0;0;0;5;3;28;26;24;26;19
3;http://www.reanimatorthemusical.com/;Welcome RE-ANIMATOR THE MUSICAL comes back to life ...;30;36;34;36;29;30;29;34;36;37;26;29;31;35;28;35;35;35;37;35;36;34;35;34;34;33;34;34;34;35;36;35;31;34;34;34
4;http://www.youtube.com/watch?v=pnw4bnCEv-o;Things Musical Theatre Nerds Do (The Musical) - YouTube;29;0;0;0;28;29;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://loudwire.com/in-flames-address-backlash-change-musical-direction/;In Flames Address Backlash Over Change in Musical ...;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;https://www.musicalfutures.org/;Musical Futures | A Movement to reshape music education ...;27;29;25;0;18;20;0;0;17;23;14;17;21;20;18;22;20;18;17;18;20;21;24;21;18;25;22;24;23;25;21;22;19;17;18;16
1;https://soundcloud.com/musical-freedom;Musical Freedom Recs - SoundCloud;26;27;24;25;21;24;23;25;27;28;22;25;0;22;22;23;22;19;20;28;25;26;22;22;20;21;25;21;20;22;19;19;14;15;14;15
1;http://dictionary.reference.com/browse/musical;Musical | Define Musical at Dictionary.com;25;0;18;15;17;19;0;21;18;22;16;19;19;21;17;20;19;29;30;27;16;29;19;16;12;24;18;19;19;20;17;11;27;27;29;28
1;https://www.facebook.com/musicalfreedom;Musical Freedom | Facebook;24;26;23;24;23;26;25;26;25;24;24;27;29;0;0;28;29;0;0;0;27;0;27;19;16;0;26;27;24;29;29;27;15;14;15;14
1;http://mi.edu/;Home - Musicians Institute | College of Contemporary Music;23;20;22;23;22;23;22;24;24;25;19;24;25;24;23;25;24;21;22;19;21;19;21;18;17;2;21;26;25;21;18;21;16;12;11;11
1;http://www.musicalfidelity.com/;Musical Fidelity | World-Class Manufacturer of Award ...;22;19;26;26;0;21;21;29;29;29;18;23;24;26;21;26;26;25;25;26;24;24;25;25;24;23;24;25;0;27;25;25;17;13;12;12
1;http://english.alarabiya.net/en/News/middle-east/2015/02/21/Photos-show-ISIS-fighters-burning-un-Islamic-musical-instruments.html;Photos show ISIS fighters burning 'un-Islamic' musical ...;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://en.wiktionary.org/wiki/musical;musical - Wiktionary;18;0;3;0;8;10;15;1;0;0;5;7;10;2;10;0;14;24;24;24;13;18;18;15;13;8;16;18;18;18;15;17;11;26;28;25
3;http://megafilmeshd.net/category/musical/;Musical - Mega Filmes HD;17;22;19;16;19;18;20;20;16;21;13;16;17;28;26;27;28;27;26;25;26;28;26;26;23;17;23;23;21;26;26;29;23;23;24;23
3;http://disneyjunior.com/plutos-musical-maze;Pluto's Musical Maze | Disney Junior;16;23;20;17;20;25;26;27;26;27;21;0;26;25;24;0;25;23;23;21;23;22;0;24;21;29;12;11;7;15;24;24;5;21;10;21
3;http://www.musicalamerica.com/;Musical America - Online International Performing Arts and ...;15;24;0;18;16;16;19;22;22;26;17;18;18;23;16;24;23;20;21;20;19;17;28;28;25;14;28;28;27;30;27;26;21;19;21;17
1;http://www.today.com/news/witness-glory-magic-bleeped-out-words-today-musical-1D80395075;Witness the glory, the magic, the bleeped-out words of ...;14;0;0;0;14;17;18;0;0;0;8;20;11;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.merriam-webster.com/dictionary/musical;Musical - Merriam-Webster.com;13;21;13;4;4;7;7;9;12;0;0;0;0;0;7;21;18;17;16;14;17;15;23;20;14;27;15;17;17;23;20;23;12;11;8;10
1;http://www.amazon.com/musical-instruments-accessories-sound-recording/b?ie=UTF8&node=11091801;Amazon.com: Musical Instruments;12;11;17;12;13;13;0;0;0;0;15;15;16;19;15;16;12;16;15;17;15;16;20;17;11;22;19;20;16;19;16;18;13;2;9;9
1;http://www.flashdancethemusical.com/;Flashdance The Musical;11;12;0;7;6;36;36;38;37;38;36;38;39;39;38;39;39;39;40;39;39;39;39;39;38;40;39;38;38;40;40;39;34;36;36;35
1;http://musical-treasures.tumblr.com/;musical-treasures - Tumblr;10;0;0;13;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;1;20;0;0;5;0;0;13;0;0;0;0
2;http://instagram.com/motownmusical;Motown Musical (@motownmusical) â¢ Instagram photos and ...;9;1;0;0;0;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://mim.org/visit/plan-your-visit/;Musical Instrument Museum | Plan Your Visit;8;14;0;14;9;12;0;18;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
1;http://www.blankthemusical.com/;Blank! The Musical;7;10;11;6;5;4;13;10;0;0;2;6;9;16;11;9;7;6;8;7;3;7;9;8;0;6;3;2;0;4;6;5;0;0;0;0
4;http://www.nymf.org/tickets/2014-events/clinton/;New York Musical Theatre Festival :: Clinton;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.desmoinesperformingarts.org/events/willis-broadway-series/346-motown/;Motown The Musical - Des Moines Performing Arts;5;17;0;0;10;14;0;0;0;0;10;12;12;0;13;0;4;2;0;0;0;0;4;3;0;4;0;0;0;0;0;0;0;0;0;0
4;http://www.memphisthemusical.com/;Memphis The Musical - Home;4;8;12;9;7;11;14;7;13;15;11;13;13;14;0;18;0;0;13;11;9;10;17;14;7;12;7;7;6;12;10;9;0;5;3;6
2;http://baysidethemusical.com/;Bayside! The Musical!;3;5;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
3;http://anniethemusical.com/;ANNIE The Musical - Home;2;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.starstreams.com/;Musical Starstreams;1;16;14;8;0;0;2;12;15;19;0;4;4;18;5;19;16;15;14;13;12;14;15;13;4;11;6;8;9;13;9;8;2;9;4;7
1;http://atlanta.craigslist.org/search/msa;atlanta musical instruments - craigslist;0;42;43;43;41;41;41;0;41;41;0;40;42;41;0;41;0;41;41;41;41;41;41;41;0;41;0;0;45;0;0;0;0;0;0;0
1;https://twitter.com/musical50shades;50Shades!The Musical (@Musical50Shades) | Twitter;0;19;0;10;25;28;28;8;0;0;23;0;28;0;0;14;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://musical-treasures.tumblr.com/videos;Videos - musical-treasures - Tumblr;0;18;0;0;11;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://putlocker.is/watch-high-school-musical-online-free-putlocker.html;Watch High School Musical Online Free Putlocker ...;0;15;0;0;0;0;0;15;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
4;http://www.proctors.org/events/elf;ELF The Broadway Musical - Proctor's Theatre;0;13;0;0;0;1;5;17;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.cannibalonstage.com/;Trey Parker's Cannibal the Musical;0;9;0;5;12;15;10;0;5;16;0;0;0;13;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.blumenthalarts.org/events/detail/motown-the-musical;Motown The Musical | Blumenthal Performing Arts;0;7;10;3;0;0;0;4;10;17;0;3;2;17;6;15;15;13;12;12;10;13;0;0;0;0;0;14;12;0;0;0;7;0;0;0
4;http://matheatre.com/;Calculus: The Musical!;0;6;9;2;0;3;4;3;9;13;3;8;8;12;9;12;11;10;10;9;7;8;14;12;3;10;4;5;0;7;4;2;0;0;0;0
1;http://www.orpheum-memphis.com/events/detail/motown-the-musical;Motown The Musical - The Orpheum Theatre;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.theaddamsfamilymusical.com/;The Addams Family - The Broadway Musical | Official Site ...;0;3;6;0;2;9;12;5;8;12;4;9;5;9;8;7;30;30;31;31;29;30;30;30;29;32;32;31;30;34;34;33;9;28;0;0
1;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical.aspx;Motown The Musical - Straz Center for the Performing Arts;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://deadline.com/2015/02/hamilton-musical-broadway-premiere-date-1201380589/;SRO 'Hamilton' Musical Unveils Post-Tony Broadway ...;0;0;40;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.bbc.co.uk/news/entertainment-arts-31623810;BBC News - Carole King calls London tribute musical 'a ...;0;0;29;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;https://www.musicalchairs.info/jobs;Jobs - MusicalChairs;0;0;27;27;24;27;24;28;11;0;0;0;27;27;25;0;3;0;0;8;22;25;0;23;19;0;0;0;0;17;0;7;0;0;13;13
1;http://www.youtube.com/watch?v=uD2nOjV3AaI;Wheel of Musical Impressions with Christina Aguilera ...;0;0;21;11;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.independent.co.uk/arts-entertainment/theatre-dance/reviews/beautiful-the-carole-king-musical-aldwych-theatre--review-a-likeable-zestful-show-10067816.html;Beautiful: The Carole King Musical, Aldwych Theatre - review;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.nytimes.com/2014/09/17/theater/bull-durham-a-musical-adaptation-of-the-1988-movie.html;'Bull Durham,' a Musical Adaptation of the 1988 Movie ...;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.theguardian.com/stage/2015/feb/25/carole-king-west-end-musical-beautiful-aldwych-theatre;One fine night: Carole King makes surprise appearance at ...;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://oncemusical.com/tour/;Once The Musical Tour Tickets;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.bmi.com/genres/entry/the_bmi_lehman_engel_musical_theatre_workshop;Genres: The BMI Lehman Engel Musical Theatre Workshop ...;0;0;1;0;0;0;0;0;6;8;0;0;0;8;0;0;0;0;0;0;0;0;5;4;0;3;0;0;0;1;0;0;0;0;0;1
2;http://www.nytimes.com/2015/02/26/theater/review-brooklynite-a-superhero-musical-with-matt-doyle-and-nicolette-robinson.html;Review: 'Brooklynite,' a Superhero Musical with Matt Doyle ...;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.ew.com/2015/02/25/spongebob-musical;'SpongeBob' musical has eye on Broadway | EW.com;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://mashable.com/2015/02/25/postpartum-helloflo-ad/;'Postpartum: The Musical' is HelloFlo's official anthem for ...;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.broadwayworld.com/article/Nickelodeon-Bringing-SPONGEBOB-Musical-to-Broadway-20150225;Nickelodeon Bringing SPONGEBOB Musical to Broadway?;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;https://www.youtube.com/playlist?list=PLCJLiJ8uSJrBG5da3z1DGd0PQssU_feq-;Musical Guests - YouTube;0;0;0;0;26;0;0;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://time.com/3582415/duck-dynasty-musical/;There's Going to Be a Duck Dynasty Musical | TIME;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.carnegiehall.org/MusicalConnections/;Musical Connections | Carnegie Hall;0;0;0;0;1;6;8;0;1;4;6;10;7;0;4;8;8;5;4;5;14;12;0;0;8;18;13;10;10;14;11;10;1;3;2;5
1;http://www.usatoday.com/story/life/music/2015/02/27/young-von-trapp-family-band/24110983/;Young von Trapps continue musical tradition - USA Today;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://music.blog.ajc.com/2015/03/01/concert-review-billy-joel-a-model-of-musical-perfection-in-atlanta-return/;Concert review: Billy Joel a model of musical perfection in ...;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.amazon.com/Autism-The-Musical-Elaine-Hall/dp/B0012XIGZ0;Amazon.com: Autism: The Musical: Elaine Hall, Rosanne ...;0;0;0;0;0;0;17;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.musical-club-of-hartford.org/;The-musical-club-of-hartford.org;0;0;0;0;0;0;3;0;3;7;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ryanseacrest.com/2014/04/01/high-school-musical-4-the-wedding-to-begin-filming-in-fall/;'High School Musical 4: The Wedding' to Begin Filming in Fall;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.americanmusical.com/Guitars;Guitars|American Musical Supply;0;0;0;0;0;0;0;11;0;0;0;0;6;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ticketmaster.com/section/arts_theater;Tickets for Arts, Theater, Broadway, Musical, Exhibit ...;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.imdb.com/genre/musical/;IMDb: Genre: Musical;0;0;0;0;0;0;0;0;44;43;43;43;44;44;43;44;43;43;44;44;44;45;44;44;44;43;43;46;47;46;47;47;46;46;46;46
1;http://www.dnainfo.com/chicago/20150304/ukrainian-village/tony-fitzpatricks-lolla-poster-highlights-citys-boozy-musical-underbelly;Tony Fitzpatrick Lollapalooza Poster Touts City's Boozy ...;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.salon.com/2015/03/04/heres_a_hilarious_musical_tribute_to_the_online_commenters_that_have_ruined_our_lives/;Here's a hilarious musical tribute to the online commenters ...;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical;Motown The Musical - Straz Center for the Performing Arts;0;0;0;0;0;0;0;0;14;0;0;0;0;11;2;11;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3
2;http://thehanovertheatre.org/showinfo.php?id=125;Flashdance: The Musical - Hanover Theatre;0;0;0;0;0;0;0;0;7;10;0;1;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://mq.oxfordjournals.org/;Musical Quarterly: Oxford Journals | Arts & Humanities;0;0;0;0;0;0;0;0;2;6;0;0;0;7;0;5;2;1;3;4;2;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0
2;http://beautifulonbroadway.com/tickets/;BEAUTIFUL The Carole King Musical on Broadway | Official ...;0;0;0;0;0;0;0;0;0;18;7;0;15;15;12;13;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
