Relevance;Url;Title;02/21/2015;02/22/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015
5;http://www.localconditions.com/weather-alpharetta-georgia/30009/traffic.php;Alpharetta Traffic and Road Conditions - LocalConditions.com;48;48;0;48;0;0;0;0;48;0;0;0;0;49;0;0;0;0;48;48;48;0;0;0;0;0;0;0;0;0;0
5;https://www.here.com/traffic;Traffic.com - Here;47;45;45;46;48;47;47;46;45;46;47;47;0;0;0;0;0;0;0;46;46;46;46;46;0;50;0;49;49;49;49
4;http://weather.weatherbug.com/GA/Alpharetta-weather/Alpharetta-traffic.html;Alpharetta, GA Traffic Cameras - WeatherBug.com;46;47;47;47;0;0;0;0;46;0;0;0;0;48;47;0;0;0;46;47;47;0;0;0;0;0;0;0;0;0;0
2;http://www.bestplaces.net/backfence/viewcomment.aspx?id=3143C619-2731-454B-9F0A-FE293ABE364F&city=Alpharetta_GA;Beautiful city but AWFUL traffic! - Alpharetta - Sperling's Best ...;45;44;44;43;0;0;0;0;42;0;0;0;0;46;46;0;0;0;42;42;42;0;0;0;0;0;0;0;0;0;0
3;http://alpharetta.ga.us/index.php?p=145;City of Alpharetta Website || Traffic Information;44;46;46;44;0;0;0;0;44;0;0;0;0;47;45;0;0;0;45;45;45;0;0;0;0;0;0;0;0;0;0
5;http://www.wsbtv.com/s/traffic/;Atlanta Traffic and Road Conditions | Live Traffic Cams ...;43;43;42;45;49;48;48;48;47;48;48;48;49;43;42;48;48;48;44;44;44;48;48;48;51;51;48;48;51;51;0
5;http://patch.com/georgia/alpharetta/real-time-traffic-information-goes-live-for-alpharett211a7f523e;Check Here for a Live Traffic Update | Alpharetta-Milton, GA ...;42;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.imdb.com/title/tt0181865/;Traffic (2000) - IMDb;41;41;41;41;43;42;42;43;41;43;42;42;43;42;41;43;43;42;41;41;41;43;43;43;46;46;46;46;46;46;44
3;http://www.wsbradio.com/s/traffic/;Atlanta Traffic from the 24-hour WSB Traffic Center | www ...;40;40;40;40;47;46;46;47;39;47;46;46;48;40;39;47;47;46;39;40;39;47;47;47;49;49;44;45;50;50;50
1;http://en.wikipedia.org/wiki/Traffic_%28band%29;Traffic (band) - Wikipedia, the free encyclopedia;39;39;39;39;40;40;40;40;40;40;39;39;40;41;40;40;41;38;40;39;40;39;39;38;38;39;45;44;38;39;39
1;http://en.wikipedia.org/wiki/Traffic;Traffic - Wikipedia, the free encyclopedia;38;37;37;37;39;39;0;0;0;0;37;37;38;0;0;0;0;36;0;38;0;38;38;37;37;38;0;0;37;38;38
1;http://en.wikipedia.org/wiki/Traffic_%282000_film%29;Traffic (2000 film) - Wikipedia, the free encyclopedia;37;38;38;38;0;0;0;0;0;0;38;38;39;0;0;0;0;37;0;37;0;37;37;0;36;37;0;0;36;37;37
3;http://www.traffic.org/;TRAFFIC - Wildlife Trade News;36;36;36;36;42;41;41;41;38;42;41;41;42;39;38;42;42;41;38;36;38;42;42;42;45;45;39;39;45;45;45
3;http://www.mapquest.com/traffic/;Traffic - MapQuest;35;35;35;35;41;38;39;39;37;41;36;36;37;37;36;39;40;39;37;34;37;40;40;39;40;40;38;38;40;40;40
3;http://wtop.com/traffic/;Traffic - WTOP;34;34;34;34;37;37;38;38;36;39;40;40;41;38;37;41;39;34;36;33;36;36;36;40;39;36;37;37;39;36;0
3;http://www.amazon.com/Traffic-Drive-What-Says-About/dp/0307277194;Traffic - Amazon.com;33;33;33;33;36;36;37;37;35;38;35;35;36;36;35;38;38;35;35;32;35;35;35;36;35;35;36;36;35;35;35
2;http://www.whas11.com/traffic/;WHAS11.com | Louisville Traffic, Road Conditions ...;32;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;23;22;23;22;22;25;20;14;10;14;12;33;8
3;http://www.flhsmv.gov/fhp/traffic/crs_h506.htm;Florida Highway Patrol - Traffic;31;23;12;16;16;14;0;18;20;22;0;0;0;0;0;28;0;0;30;27;27;0;0;0;22;22;33;25;29;0;0
3;http://www.wfmz.com/traffic;WFMZ Traffic | Cams, Reports, Incidents, Accidents ...;30;0;2;8;30;0;0;0;0;0;0;0;0;31;31;34;36;11;15;0;0;0;12;27;24;24;27;28;26;0;0
3;http://www.wcnc.com/traffic;WCNC.com | Charlotte Traffic Alerts, Incidents, Reports and ...;29;25;29;12;15;22;0;0;27;28;25;28;23;0;24;25;26;9;11;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.wbal.com/traffic;Traffic - WBAL.com;28;0;30;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;25;28;25;23;24;27;25;24;19
3;http://www.511virginia.org/;Virginia 511 Web;27;30;21;22;23;30;32;0;0;33;33;34;35;0;0;0;0;25;20;21;19;18;17;13;10;20;16;19;18;17;18
4;http://philadelphia.cbslocal.com/traffic/;Traffic Â« CBS Philly - Philadelphia - CBS Philly - CBS Local;26;31;0;0;0;29;0;0;0;34;34;0;31;29;34;37;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://fox2now.com/traffic/;Traffic | FOX2now.com;25;22;8;24;24;18;14;12;14;19;14;14;13;16;7;9;19;17;22;17;12;13;13;0;5;10;5;0;0;0;0
4;http://www.kare11.com/traffic/;Minneapolis and St. Paul Traffic | Twin Cities | kare11.com;24;11;22;26;26;0;34;32;0;0;0;0;34;27;27;29;29;24;16;11;17;30;0;15;16;0;18;21;17;12;0
4;http://www.sigalert.com/map.asp?Region=San+Diego;Sigalert.com San Diego Traffic Map;23;26;0;0;0;35;0;31;0;0;30;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.wsdot.com/traffic/tacoma/;Tacoma Traffic;22;21;26;0;0;0;0;0;0;0;0;0;0;0;32;0;0;27;32;26;0;28;32;0;0;0;30;0;33;0;0
3;http://www.khou.com/traffic/;KHOU | Houston Traffic, Road Conditions - KHOU.com;21;19;28;30;31;33;0;34;32;0;28;27;0;33;0;0;0;0;19;18;21;26;29;24;21;33;25;0;0;28;33
3;http://www.nbcwashington.com/traffic;Traffic - Washington, DC - NBCWashington.com;20;0;0;0;0;0;0;0;0;35;31;31;29;34;0;0;0;29;13;0;14;12;11;9;6;13;9;13;10;5;6
3;https://smartway.tn.gov/traffic;SmartWay Traffic;19;20;11;14;11;0;0;17;17;9;15;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.fhwa.dot.gov/trafficinfo/;National Traffic and Road Closure Information | Federal ...;18;17;19;19;19;23;24;23;21;26;24;25;27;30;29;32;32;32;29;23;24;24;26;29;27;26;28;30;27;26;31
3;http://www.theindychannel.com/traffic;Indianapolis Traffic | RTV6 TheIndyChannel.com;17;16;0;10;13;13;20;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.komonews.com/traffic/;KOMO Seattle Area Traffic | Seattle News, Weather, Sports ...;16;14;0;0;0;0;3;0;1;0;2;12;8;13;9;10;11;4;8;6;8;6;9;32;28;27;15;20;19;14;28
3;http://www.mynews13.com/content/news/cfnews13/traffic.html;Orlando Traffic | Florida Traffic Conditions and Accidents ...;15;18;18;21;22;25;28;26;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://woodtv.com/traffic/;Grand Rapids Traffic Conditions | WOODTV.com;14;13;0;0;0;27;29;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.ksl.com/?nid=713;KSL Traffic Center | KSL.com;13;12;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.clickondetroit.com/weather/traffic;Traffic - Detroit - Click On Detroit;12;15;20;23;0;0;33;14;19;25;0;0;33;25;23;24;28;2;2;0;2;0;0;5;0;12;7;9;6;0;4
3;http://www.nbcphiladelphia.com/traffic;Traffic - NBC10.com;11;10;10;0;0;0;21;20;0;17;16;15;15;14;10;12;13;14;14;10;13;11;10;0;0;2;0;6;7;7;10
3;http://www.cotrip.org/speed.htm;Speeds - Road Conditions, Speeds, Travel Times, Traffic ...;10;8;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
3;http://www.wptv.com/traffic;Traffic - WPTV.com;9;7;0;1;0;0;0;0;0;0;11;18;21;23;22;3;6;23;24;20;22;23;23;34;33;30;35;35;34;16;16
3;http://www.last.fm/music/Traffic;Traffic â Free listening, videos, concerts, stats and pictures ...;8;5;5;9;12;16;0;10;11;21;21;20;19;0;20;20;23;19;21;15;20;19;20;18;18;0;17;0;21;18;20
3;http://www.wcvb.com/traffic;Boston area traffic - WCVB.com;7;9;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.buckeyetraffic.org/;Buckeye Traffic;6;6;0;0;4;2;6;5;7;2;6;6;6;10;11;13;15;12;12;14;18;17;16;12;11;16;13;17;15;15;17
3;http://targetedtraffic.com/;TRAFFIC Conference. Domain investments, portfolios and ...;5;32;6;13;35;19;0;36;8;16;17;16;18;19;17;22;31;33;34;31;34;34;34;30;34;34;34;32;31;34;0
3;http://www.nbcchicago.com/traffic;Chicago Traffic, Route Maps, and Congestion Tracking ...;4;4;9;0;0;0;0;0;0;5;0;0;3;4;0;0;5;0;0;2;4;7;6;0;23;6;4;10;0;6;3
5;http://www.511ga.org/;Georgia 511;3;0;0;0;45;44;44;44;6;45;45;45;46;11;5;46;45;45;9;35;6;45;45;45;48;48;40;40;48;48;48
3;http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291600-0854/issues;Traffic - All Issues - Wiley Online Library;2;0;0;5;6;8;13;2;3;8;12;13;12;15;13;15;17;15;17;13;16;16;15;21;17;0;20;23;22;21;22
3;http://tomvanderbilt.com/traffic/;Traffic - Tom Vanderbilt;1;1;0;0;3;5;9;0;0;3;7;7;7;0;2;4;7;7;6;7;0;1;0;0;0;0;0;0;0;0;0
3;http://www.king5.com/traffic;Traffic - KING5.com;0;29;24;28;29;28;31;28;28;31;0;0;0;0;0;0;0;0;0;25;28;27;0;0;0;0;0;0;0;0;0
2;http://www.sigalert.com/Map.asp?region=Orange+County;Sigalert.com Orange County Traffic Map;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;33;31;0;0;0;0;0;0;0;0
3;http://www.sigalert.com/;Sigalert.com San Jose/South Bay Traffic Map;0;27;16;18;0;0;0;0;0;29;0;0;25;35;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.kgw.com/traffic;kgw.com | Portland, SW Washington Traffic Reports and ...;0;24;4;6;8;12;0;11;13;24;18;11;10;0;15;11;14;0;0;0;0;3;1;3;29;29;22;15;13;0;0
3;http://www.10tv.com/content/sections/traffic/;Traffic - Columbus - WBNS /10tv.com;0;3;0;4;7;0;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
3;http://www.wthr.com/category/28213/traffic-information-for-indianapolis-and-central-indiana;Traffic - Indianapolis - WTHR.com;0;2;0;0;14;15;0;16;0;7;10;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;http://www.navbug.com/georgia/alpharetta_traffic.htm;Alpharetta Traffic Conditions and Accident Reports;0;0;43;42;0;0;0;0;43;0;0;0;0;44;43;0;0;0;43;43;43;0;0;0;0;0;0;0;0;0;0
3;http://www.nbcdfw.com/traffic;Traffic - NBCDFW.com;0;0;32;20;20;17;27;25;12;20;5;2;11;0;14;16;18;20;26;16;33;0;0;0;0;3;1;8;14;0;11
3;http://www.kmov.com/traffic;KMOV.com | St Louis Traffic, Road Conditions, STL ... - Saint ...;0;0;31;0;0;0;0;21;26;30;26;23;0;20;19;18;20;13;10;9;10;0;0;0;0;0;0;0;0;0;0
3;http://www.katu.com/traffic;KATU Portland Area Traffic | KATU.com - Portland News ...;0;0;27;29;27;24;25;24;25;37;27;29;30;0;0;0;0;26;0;0;0;0;33;31;0;0;0;33;0;0;0
2;http://www.wsdot.com/traffic/;Traffic;0;0;25;27;28;26;30;27;31;32;32;32;32;32;33;35;33;0;0;0;31;0;0;0;0;0;0;0;0;0;0
2;http://www.wxyz.com/traffic;Traffic - WXYZ.com;0;0;23;25;25;0;0;0;33;0;0;0;0;0;28;31;0;0;0;29;32;25;27;0;0;0;0;0;0;0;0
3;http://www.sigalert.com/Details.asp;Sigalert.com Traffic - Pick a City;0;0;17;0;0;0;0;0;0;0;0;0;26;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://pittsburgh.cbslocal.com/traffic/;Traffic Â« CBS Pittsburgh;0;0;15;15;0;0;0;0;0;0;0;26;0;28;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
3;http://www.nbc12.com/category/130327/traffic;Traffic - Richmond - NBC12.com;0;0;14;0;0;20;5;35;34;13;19;17;16;17;16;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.kvue.com/traffic/;kvue.com | Austin Traffic, Road Conditions - KVUE.com;0;0;13;17;10;0;23;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://abc7news.com/traffic/;San Francisco and Bay Area Traffic | abc7news.com;0;0;7;11;0;10;0;7;0;10;0;0;0;0;0;0;0;16;18;12;15;8;7;0;0;0;0;0;0;0;0
3;http://www.wsmv.com/category/216464/4warn-traffic;4WARN Traffic - WSMV Channel 4 - Nashville;0;0;3;0;0;0;0;22;18;12;3;3;4;0;12;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.wwltv.com/traffic;wwltv.com | New Orleans Traffic, Road Conditions - WWLTV ...;0;0;1;7;9;0;0;0;15;18;20;19;17;18;18;21;25;22;3;0;0;4;0;8;3;9;8;12;9;10;0
3;http://www.wbaltv.com/traffic;Baltimore, Maryland Traffic Delays and Maps from ... - WBAL;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;34;30;33;28;29;29;0;35;32;32;32;0;0;23;23
3;http://7online.com/traffic/;WABC New York Traffic | 7online.com;0;0;0;3;5;21;22;29;16;23;22;22;22;22;21;23;24;0;5;0;11;14;14;26;30;31;0;31;28;25;27
3;http://www.wbir.com/traffic/;WBIR Traffic - Knoxville;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.myfoxatlanta.com/category/233789/traffic;Traffic - Atlanta News, Weather, Traffic, and Sports | FOX 5;0;0;0;0;46;45;45;45;0;44;44;44;45;0;0;44;44;44;0;0;0;44;44;44;47;47;0;0;47;47;47
4;http://www.11alive.com/traffic/;Traffic |Atlanta News, Weather, Traffic, Sports and ... - 11Alive;0;0;0;0;44;43;43;42;0;0;43;43;44;0;0;0;0;40;0;0;0;41;41;41;44;44;0;0;44;44;46
1;http://en.wikipedia.org/wiki/Web_traffic;Web traffic - Wikipedia, the free encyclopedia;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
3;http://www.ohgo.com/dashboard/cleveland;Ohgo || Real-time Ohio traffic - Cleveland;0;0;0;0;34;0;0;0;29;36;0;0;28;24;26;27;27;18;25;0;0;32;0;33;26;25;26;29;23;22;24
3;http://www.sigalert.com/map.asp?region=Orange+County;Sigalert.com Orange County Traffic Map;0;0;0;0;33;34;35;30;30;0;29;30;0;0;30;33;35;0;28;0;30;0;0;0;0;0;0;0;0;0;0
3;http://www.kob.com/traffic/;Albuquerque Traffic | KOB.com;0;0;0;0;32;11;18;9;9;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://dfw.cbslocal.com/traffic/;Traffic Â« CBS Dallas / Fort Worth;0;0;0;0;21;0;36;33;23;0;0;0;0;0;0;0;0;21;27;0;26;0;28;0;0;0;0;0;0;0;0
3;http://www.firstcoastnews.com/traffic/;Traffic | Jacksonville, FL | Firstcoastnews.com;0;0;0;0;17;31;16;1;5;6;13;21;20;21;4;6;9;0;0;0;0;31;0;22;12;18;21;26;24;8;14
3;http://trafficinfo.lacity.org/;Real-Time Traffic Conditions for Los Angeles - City of Los ...;0;0;0;0;1;4;8;0;0;4;8;9;9;12;6;7;12;10;0;0;1;2;2;14;14;19;19;22;0;11;12
3;http://www.wgal.com/traffic;Traffic - WGAL.com;0;0;0;0;0;9;19;19;22;11;9;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.511pa.com/CameraListing.aspx;Traffic Cameras - 511PA.com;0;0;0;0;0;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
3;http://ktla.com/traffic/;Traffic | KTLA;0;0;0;0;0;3;0;0;0;0;0;8;14;9;8;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.internettrafficreport.com/;Network Overview /// Internet Traffic Report;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://ohgo.com/dashboard/columbus;ODot - Columbus - Ohgo || Real-time Ohio traffic;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;24;25;0;0;0;0;0;0;0;0;0;0
3;http://www.kens5.com/traffic/;kens5.com | San Antonio Traffic, Road Conditions - KENS5 ...;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.511nj.org/;511nj.org :: Home;0;0;0;0;0;0;15;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.wpxi.com/s/traffic/;WPXI Traffic | www.wpxi.com - Pittsburgh;0;0;0;0;0;0;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://sanfrancisco.cbslocal.com/traffic/;Traffic Â« CBS San Francisco;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;19;0;21;0;23;19;21;23;24;16;13;25
3;http://www.pennlive.com/traffic/;Traffic - PennLive.com;0;0;0;0;0;0;7;8;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;7;2;8;0;0;0;0;0
3;http://www.montgomerycountymd.gov/dot-tmc/;Traffic Cameras - Montgomery County, Maryland;0;0;0;0;0;0;4;0;0;1;4;4;5;8;3;5;8;8;7;5;7;9;8;6;4;11;6;11;8;4;2
3;http://www.wlky.com/traffic;Traffic conditions for Louisville and southern Indiana;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://seattletimes.com/html/traffic/?from=stnv;Traffic - Seattle - The Seattle Times;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://hb.511la.org/;Louisiana DOT Traveler Information;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.thedenverchannel.com/traffic;Traffic - Denver - The Denver Channel;0;0;0;0;0;0;0;0;0;27;23;24;24;26;25;26;22;31;0;0;0;0;0;0;0;0;0;0;32;27;32
3;http://traffic.houstontranstar.org/;Houston TranStar Real-Time Traffic Map;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0
3;https://www2.miami-dadeclerk.com/TrafficApp/;Traffic - Clerk of Courts;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;https://www.here.com/traffic?lang=en-US;Traffic.com - Here;0;0;0;0;0;0;0;0;0;0;0;0;47;45;44;45;46;47;47;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.ct.gov/dot/cwp/view.asp?a=2354&Q=290242;ConnDOT: Connecticut Traffic Cameras - CT.gov;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;5;5;0;0;0;0;4;5;0;0
3;http://www.wcpo.com/traffic/cams;Traffic Cameras - Cincinnati - WCPO.com;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.nhtsa.gov/;Home | National Highway Traffic Safety Administration ...;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0
3;https://www2.miami-dadeclerk.com/TrafficApp/Default.aspx;Traffic - Clerk of Courts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;1;0;0;4;4;1;5;2;0;0;1;0
3;http://www.cbs46.com/category/209305/atlanta-traffic-info;Traffic - CBS46 News;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.rottentomatoes.com/m/1103281-traffic/;Traffic - Rotten Tomatoes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
3;https://www.travelmidwest.com/lmiga/ChicagoQuickTraffic.jsp;Travel Midwest - Chicago Quick Traffic Report;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;3;0;0;0;0;0;0;0;0;0;0;0
3;http://www.thejouledallas.com/traffic-la.htm;TRAFFIC LA - The Joule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0
3;http://www.shoptrafficla.com/;TRAFFIC LA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;10;21;10;9;15;12;16;20;19;9
3;http://www.travelmidwest.com/lmiga/ChicagoQuickTraffic.jsp;Travel Midwest - Chicago Quick Traffic Report;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;24;2;13;4;0;0;0;0;0
;http://abc13.com/traffic/;Houston Traffic | abc13.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;4;0;0
;http://www.sigalert.com/Map.asp?region=San+Francisco;Sigalert.com San Francisco Traffic Map;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;15;17;14;18;11;20;21
;http://www.wsdot.com/traffic/seattle/default.aspx?cam=9350;Seattle Area Traffic - WSDOT - Seattle Washington Cameras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1;0;9;15
;https://www.here.com/traffic/;Traffic.com - Here;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;49;0;0;0;0
;http://www.wired.com/2014/06/wuwt-traffic-induced-demand/;Building Bigger Roads Actually Makes Traffic Worse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;43;43;43;43;43
;http://www.usatoday.com/story/money/cars/2013/05/04/worst-traffic-cities/2127661/;Ten cities with the worst traffic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;42;42;42;42;42;42
;http://arstechnica.com/security/2014/08/researchers-find-its-terrifyingly-easy-to-hack-traffic-lights/;Researchers find it's terrifyingly easy to hack traffic ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;41;41;41;41;41;41
;http://www.nbcnewyork.com/traffic;Traffic - NYC - NBC New York;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;28;31;34;0;0;0
;http://www.live5news.com/category/130320/traffic;Traffic Tracker - Live5News.com | Charleston, SC | News ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;29;0;0;3;1
;http://www.freep.com/story/news/local/michigan/2015/03/25/inkster-police-arrest-beating-video/70446394/;Detroit man says Inkster police beat him during traffic stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
;http://www.johnscreekga.gov/services/publicworks/trafficservices;Traffic Services - City of Johns Creek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;51;0;0;0
;http://www.johnscreekga.gov/online/maps/roadinfo;Road Information - City of Johns Creek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0
;http://patch.com/georgia/johnscreek/check-real-time-traffic-on-johns-creek-patch;Check Real-Time Traffic on Johns Creek Patch - Patch.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;47;0;0;0
;http://kxan.com/2015/03/27/austin-announces-downtown-traffic-plan/;Austin rolls out new steps to keep downtown traffic moving ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;7;0;0;0
;http://www.az511.com/adot/files/traffic/;ADOT traffic - AZ511.gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
;http://nypost.com/2015/03/30/traffic-agents-seeing-red-over-uniform-color-change/;Traffic agents seeing red over uniform color change | New ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;0
;http://www.seattletimes.com/seattle-news/lets-cut-traffic-by-road-rationing-italian-style/;Let's cut traffic by road rationing, Italian style | The Seattle ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;http://www.usatoday.com/story/news/nation-now/2015/04/01/worst-cities-traffic-usa-los-angeles/70762026/;Los Angeles tops worst cities for traffic in USA - USA Today;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
;http://www.mercurynews.com/bay-area-news/ci_27823979/san-jose-s-f-traffic-getting-worse-but;San Jose, S.F. traffic: Getting worse but still better than L.A. ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
;https://twitter.com/hpdtraffic;Honolulu Traffic (@hpdtraffic) | Twitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
