Relevance;Url;Title;02/21/2015;02/22/2015;02/24/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015
5;http://www.weather.gov/;National Weather Service;45;45;0;45;0;37;30;45;45;45;45;44;45;44;44;45;45;45;45;44;44;45;25;45;45;44;44;46;49;0;48;46;49;75
5;http://www.wunderground.com/;Weather Underground: Weather Forecast & Reports - Long ...;44;44;0;43;44;36;29;44;44;44;44;45;44;45;45;44;44;44;44;45;45;46;24;44;44;43;0;45;48;48;47;48;48;76
5;http://www.accuweather.com/en/us/alpharetta-ga/30009/weather-forecast/332559;Alpharetta Weather - AccuWeather Forecast for GA 30009;43;43;0;44;0;0;28;43;0;0;0;43;43;0;0;0;0;0;0;0;0;0;23;43;43;0;0;0;0;0;0;0;0;0
4;https://weather.yahoo.com/;Yahoo Weather - Weather Forecasts | Maps | News;42;42;0;42;42;34;27;42;42;41;42;42;42;42;42;42;42;42;42;41;42;42;22;42;42;42;42;42;45;45;40;40;45;73
4;http://www.intellicast.com/;Intellicast - Local and National Weather Forecast, Radar ...;41;41;0;41;41;32;26;41;40;39;41;41;41;40;40;40;40;39;39;39;40;40;21;41;41;40;40;41;44;44;39;39;44;72
4;http://www.cnn.com/weather;Weather - CNN.com;40;40;38;40;38;30;0;39;39;38;38;39;38;39;39;39;39;38;38;38;39;39;0;40;40;39;39;39;39;39;38;38;39;67
4;http://www.noaa.gov/wx.html;Weather - NOAA;39;39;37;39;37;29;0;38;38;37;37;37;37;38;38;38;38;37;37;37;38;37;0;39;38;37;38;38;38;38;37;37;37;65
3;http://www.noaa.gov/;NOAA - National Oceanic and Atmospheric Administration;38;38;36;38;36;28;25;37;37;36;36;0;36;37;37;37;37;36;36;36;37;36;0;38;37;36;37;37;37;37;0;0;36;64
4;http://weather.weatherbug.com/;WeatherBug.com: Local and National Weather Conditions ...;37;37;35;36;35;27;0;36;36;35;35;36;35;36;36;36;36;35;35;35;36;38;0;37;39;38;36;36;36;36;36;36;38;66
5;http://www.wsbtv.com/s/weather/;Metro Atlanta weather forecast and radar | www.wsbtv.com;36;36;40;37;40;33;0;40;41;40;40;40;40;41;41;41;41;23;24;40;41;41;0;26;24;41;41;40;40;40;34;2;40;68
3;https://www.aviationweather.gov/;Aviation Weather Center: AWC;35;35;34;35;34;26;0;35;35;34;34;35;34;35;35;35;34;34;34;33;35;35;0;36;36;35;35;35;35;35;35;35;35;63
2;http://www.bbc.com/weather/;BBC Weather;34;34;33;34;33;25;24;34;34;33;32;34;33;34;34;34;33;33;33;32;34;34;20;35;35;34;34;34;34;34;33;34;34;62
2;https://play.google.com/store/apps/details?id=com.macropinch.swan&hl=en;Weather - Android Apps on Google Play;33;32;32;0;29;24;23;29;27;0;0;0;25;31;29;30;32;32;32;31;33;33;18;34;34;33;0;33;33;33;32;33;33;59
2;http://en.wikipedia.org/wiki/Weather;Weather - Wikipedia, the free encyclopedia;32;31;31;31;32;23;21;32;29;29;28;31;31;33;33;33;31;31;31;30;32;32;17;33;33;32;32;32;32;32;31;32;32;60
4;http://www.usatoday.com/weather/;US and National Weather Forecasts - USATODAY.com;31;33;30;32;31;20;20;30;28;27;29;30;29;32;30;29;28;29;30;27;31;31;19;30;31;29;30;30;29;30;29;30;29;20
2;http://www.kvue.com/weather/;kvue.com | Austin Weather, Forecast, Conditions, Doppler ...;30;28;0;33;0;0;0;0;0;31;0;28;28;27;0;32;30;30;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.wbaltv.com/weather;Baltimore Weather News â Maryland Weather Updates ...;29;29;28;29;25;19;0;26;0;0;0;0;0;25;25;24;23;21;21;22;27;20;13;32;19;12;11;16;11;16;19;16;20;9
1;http://www.wfmz.com/weather;WFMZ Weather | Allentown, Bethlehem, Lehigh Valley ...;28;27;23;20;17;10;9;0;18;14;16;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
2;http://woodtv.com/category/weather/;Grand Rapids weather forecast | WOODTV.com;27;17;24;23;19;11;11;15;16;24;13;13;13;14;15;13;13;12;11;13;15;18;0;18;13;13;19;20;13;13;12;11;13;17
1;http://www.edheads.org/activities/weather/;Edheads - Weather Activities - Temperature Converter - Kids ...;26;26;26;26;23;13;16;22;23;25;25;27;24;23;23;21;21;20;20;23;26;29;16;29;28;26;28;28;25;24;24;25;25;54
3;http://www.chicagotribune.com/news/weather/;Weather - Chicago Tribune;25;24;20;21;24;15;0;14;9;10;7;10;12;12;13;10;11;11;12;14;14;16;0;19;18;21;26;26;19;20;21;22;22;51
2;http://www.msn.com/en-us/weather;Mountain View, CA - MSN Weather - MSN.com;24;25;25;25;22;0;12;21;21;23;24;26;20;21;21;17;17;16;16;17;19;27;0;31;32;30;31;31;30;31;30;31;31;61
2;http://www.13abc.com/weather;Toledo Weather - 13abc.com Toledo (OH) News, Weather ...;23;22;15;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.weatherwizkids.com/;Weather Wiz Kids weather information for kids;22;20;21;22;20;0;14;24;25;21;21;24;21;22;22;20;19;18;18;20;21;28;0;28;30;27;29;29;26;27;27;28;28;58
3;http://www.azfamily.com/weather/;azfamily.com | Phoenix 3TV Weather, Doppler Radar ...;21;19;19;24;21;14;15;23;22;22;23;23;22;20;20;19;20;19;19;21;23;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.10tv.com/content/sections/weather/;Doppler 10 Weather - Columbus - WBNS /10tv.com;20;23;22;14;13;0;0;8;10;20;18;8;7;8;14;2;10;5;1;4;6;0;0;2;0;2;0;0;0;0;0;0;0;0
3;http://www.wmur.com/weather;Weather - WMUR.com;19;18;17;15;10;0;0;4;17;9;1;0;1;0;0;11;15;15;15;18;22;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://fox4kc.com/weather/;Kansas City Weather by fox4kc.com â WDAF Television ...;18;16;14;16;16;12;0;16;15;5;4;6;9;3;2;1;0;0;0;0;0;10;7;14;10;5;9;2;1;0;0;1;0;0
3;http://www.wthr.com/weather;Weather - Indianapolis - WTHR.com;17;8;8;6;5;0;0;17;19;11;11;11;16;13;10;7;3;4;6;8;12;14;9;16;15;15;20;17;14;11;15;17;17;11
3;http://www.whio.com/s/weather/;Dayton Weather | Forecast, Current Conditions & Radar ...;16;14;12;8;15;9;0;19;20;18;20;7;11;11;11;8;7;7;7;9;10;9;0;0;2;0;0;0;0;0;0;0;0;0
3;http://www.ksl.com/?nid=88;KSL Weather Center | KSL.com;15;13;4;13;12;0;7;9;8;16;8;9;17;17;9;16;16;13;14;16;18;25;0;27;27;25;24;24;23;22;22;23;27;57
3;http://fox8.com/weather/;Weather | fox8.com - Cleveland;14;15;18;17;14;8;3;5;5;4;6;4;5;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.kcrg.com/weather/;KCRG-TV9 | Cedar Rapids, Iowa News, Sports, and Weather;13;9;16;19;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291477-8696;Weather - Wiley Online Library;12;12;13;10;11;0;0;10;12;7;9;14;14;15;17;14;14;14;13;15;16;22;12;22;23;22;22;23;22;23;23;24;26;56
2;http://www.kcci.com/weather;Des Moines Weather News â Iowa Weather Updates â KCCI ...;11;11;3;27;28;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;14;23;21;24;27;0;0;0;0;0;0;2
3;http://www.timeanddate.com/weather/;World Temperatures â Weather Around The World;10;10;10;9;7;7;4;7;2;6;5;5;8;10;8;6;6;8;9;11;13;17;0;24;22;18;18;21;17;18;20;21;21;50
1;http://www.spaceweather.com/;SpaceWeather.com -- News and information about meteor ...;9;5;0;11;0;4;0;0;6;1;0;0;0;0;5;5;5;0;0;5;9;21;11;0;0;0;13;15;12;15;16;0;12;19
3;http://www.wcvb.com/weather;Weather - WCVB.com;8;0;0;0;0;18;18;27;32;28;30;32;32;24;24;23;22;22;22;28;30;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ketv.com/weather;Weather - Omaha - KETV.com;7;1;11;18;27;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;11;14;6;3;13;9;6;0;4;0;0
1;http://www.learner.org/exhibits/weather/;Exhibits Collection -- Weather;6;0;2;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0;3;0;0;5;0;0;8;9;0;6;8;9;0;14;16;15
2;http://www.channel3000.com/weather;Madison Weather - Forecast Radar, Madison School ...;5;3;7;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
2;http://www.newson6.com/weather;Oklahoma weather forecast, current conditions ... - Tulsa;4;0;0;1;0;0;17;25;24;17;27;21;20;18;16;12;8;9;8;10;0;19;0;21;20;16;12;3;31;17;18;18;19;18
3;http://www.nbcphiladelphia.com/weather/;Philadelphia Weather, Forecast, Maps and Doppler Radar ...;3;6;0;3;0;0;0;0;3;0;3;19;0;4;4;3;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.baynews9.com/Weather.html;Tampa Weather | Klystron 9, Radar, Weather on the Nines;2;0;1;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;8;0;4;5;1;2;10;17;8;5;10
1;http://weather.unisys.com/;Unisys Weather;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;8;6;4;12;7;8;6;5;7;8;11;13;14;16
3;http://www.wcpo.com/weather;Weather - Cincinnati - WCPO.com;0;30;29;30;30;21;0;33;30;0;0;0;26;0;32;28;26;26;26;26;29;30;0;17;17;20;23;25;28;29;28;29;30;53
3;http://www.wbir.com/weather/;WBIR.com | Knoxville, TN | Weather;0;21;27;28;26;0;0;0;0;0;0;0;0;28;27;26;25;25;25;0;28;0;0;0;0;0;0;0;24;26;26;26;0;0
2;http://www.kcra.com/weather;Weather - Sacramento - KCRA.com;0;7;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;http://www.weatherfrom.com/;Weather From - Weather you need it or not;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.11alive.com/weather/;Weather | Atlanta News, Weather, Traffic, Sports and ...;0;0;39;0;39;31;0;0;26;0;39;0;0;0;0;0;35;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.newschannel10.com/weather;Weather - KFDA - NewsChannel 10 / Amarillo News ...;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;3;0;5;0;0;0
2;http://www.myfoxdetroit.com/weather;Weather - Fox 2 News Headlines;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.wyff4.com/weather;Weather - Greenville - WYFF 4.com;0;0;5;7;9;0;0;0;33;0;33;0;27;30;28;27;27;27;28;25;24;26;0;20;29;28;21;0;21;14;0;0;0;0
5;http://www.accuweather.com/en/us/atlanta-ga/30303/daily-weather-forecast/348181;Weather in Atlanta - AccuWeather Forecast for GA 30303;0;0;0;0;43;35;0;0;43;43;43;0;0;43;43;43;43;0;0;43;43;44;0;0;0;0;43;44;47;47;0;0;47;74
3;http://www.nbc12.com/weather;Weather - Richmond - NBC12.com;0;0;0;0;2;0;8;13;14;13;22;25;15;16;18;15;12;10;10;12;7;1;0;6;1;0;10;7;10;12;0;15;15;4
2;http://www.ky3.com/weather;Local Weather for Springfield, Missouri, Branson and the ...;0;0;0;0;0;5;0;18;13;15;15;3;10;9;12;9;9;6;5;7;0;7;5;9;5;1;7;22;20;21;14;12;9;3
2;http://wreg.com/weather/;Weather | WREG.com - Memphis;0;0;0;0;0;3;1;6;7;12;17;16;3;7;6;4;4;3;4;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.boston.com/weather;Boston, MA weather | Boston.com - Boston.com;0;0;0;0;0;0;22;31;31;30;31;0;30;29;31;31;29;28;27;29;0;0;6;15;11;11;8;11;5;7;13;10;6;12
2;http://www.whas11.com/weather/;WHAS11.com | Louisville Weather, Forecast, Conditions ...;0;0;0;0;0;0;19;28;0;32;0;33;23;26;26;25;24;24;23;24;25;11;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.wrcbtv.com/weather;Chattanooga Weather - WRCBtv.com | Chattanooga News ...;0;0;0;0;0;0;13;20;0;19;19;22;0;19;0;0;0;0;0;0;0;0;10;0;16;19;15;19;0;0;9;6;11;0
4;http://myfox8.com/weather/;Weather - MyFOX8.com;0;0;0;0;0;0;10;12;11;8;10;15;4;5;7;22;18;17;17;19;17;12;8;0;12;14;14;18;15;19;0;19;18;49
1;http://www.koco.com/weather;Weather | Oklahoma City - OKC - KOCO.com;0;0;0;0;0;0;6;11;0;0;2;0;0;0;0;0;0;0;0;0;0;4;3;10;6;10;0;12;27;28;8;7;8;1
2;http://www.wcnc.com/weather;WCNC.com | Charlotte Weather | North Carolina Weather ...;0;0;0;0;0;0;2;0;4;0;0;12;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.kmbc.com/weather;Weather - Kansas City - KMBC.com;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
3;http://www.wsmv.com/weather;Weather - Nashville - WSMV Channel 4;0;0;0;0;0;0;0;2;1;3;12;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ksdk.com/weather/;St. Louis Weather - KSDK.com;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.accuweather.com/;Local Weather from AccuWeather.com - Superior Accuracyâ¢;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;41;41;42;0;43;0;0;0;0;0;43;46;46;44;44;46;0
3;https://play.google.com/store/apps/details?id=com.macropinch.swan;Weather - Android Apps on Google Play;0;0;0;0;0;0;0;0;0;26;26;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.nbcnewyork.com/weather/;Weather - NBC New York;0;0;0;0;0;0;0;0;0;2;14;17;0;6;3;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://weather.cnn.com/weather/forecast.jsp;CNN Weather - CNN.com;0;0;0;0;0;0;0;0;0;0;0;38;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.king5.com/weather;KING5.com | Seattle Weather, Doppler Radar, Forecast ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;18;0;0;0;0;20;24;15;25;25;23;25;27;0;0;0;0;24;55
5;http://www.wunderground.com/weather-forecast/US/GA/Alpharetta.html;Alpharetta, Georgia - Weather Underground;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.accuweather.com/en/us/national/weather-radar;United States Doppler Weather Radar Map - AccuWeather ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://scied.ucar.edu/webweather;Web Weather - UCAR Center for Science Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.kptv.com/weather;Oregon Weather and Portland Weather from KPTV - KPTV ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;4;0;0;3;0;0;1;6
1;http://www.9news.com/weather/;Weather Network | Denver | Colorado's Online ... - 9News;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.kcrg.com/weather;KCRG-TV9 | Cedar Rapids, Iowa News, Sports, and Weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;13;9;17;17;9;4;5;10;9;10;13
5;http://weather.org/;Weather.Org | World Weather Forecast and Climate History;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0
1;http://fivethirtyeight.com/features/which-city-has-the-most-unpredictable-weather/;Which City Has The Most Unpredictable Weather ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;26;31;33;14;41;41;41;41;41;69
1;https://scied.ucar.edu/webweather;Web Weather for Kids - UCAR Center for Science Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;3;0;7
1;http://www.keloland.com/weather/;KELOLAND.com | Live Doppler HD, Weather for ... - Sioux ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;2;8;0;4;7;5;7;8
1;https://play.google.com/store/apps/details?id=com.devexpert.weather&hl=en;Weather & Clock Widget Android - Google Play;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0
1;http://www.pri.org/stories/2015-03-22/welcome-double-el-ni-o-and-more-extreme-weather;Welcome to the 'Double El Niño' — and more extreme weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3;http://fox2now.com/weather/;Weather | FOX2now.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;4;0;0;0
1;http://5newsonline.com/weather/;Weather | 5NEWSOnline.com - Fort Smith;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;2;0;0;4;0
3;http://ngm.nationalgeographic.com/2012/09/extreme-weather/miller-text;Extreme Weather;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;43;43;43;71
3;http://www.scientificamerican.com/article/extreme-weather-caused-by-climate-change/;Storm Warnings: Extreme Weather Is a Product of ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;42;42;42;42;70
5;http://www.wunderground.com/weather-forecast/US/GA/Johns_Creek.html;Johns Creek, GA - Weather Underground;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;47;0;0
5;http://www.accuweather.com/en/us/johns-creek-ga/30022/weather-forecast/2193760;Johns Creek Weather - AccuWeather Forecast for GA 30022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;45;0;0
2;http://tbo.com/weather/;Weather around Tampa Bay Conditions and Forecasts ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
4;http://www.weather.net/;Freese-Notis Weather Services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1;http://nypost.com/2015/03/29/weatherman-underground-bomber-unmasked-as-city-schoolteacher/;Weather Underground bomber unmasked — as city ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0
3;http://wnep.com/weather/;WNEP Weather | WNEP.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14
3;http://www.washingtonpost.com/weather;Weather - Washington, DC - Washington Post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
